Location,Section,Document Name,Arabic,English,Greek,Farsi,French,Kurmanji,Sorani (Kurdish),Pasto,Urdu
greece-islands,Admissabilty,Self help information,True,True,False,False,False,False,False,False,False
greece-islands,Admissabilty,What happens at what step (flowchart),True,True,False,False,False,False,False,False,False
greece-islands,Assisted voluntary returns - IOM,What happens to Syrians when they are returned to Turkey,False,True,False,False,False,False,False,False,False
greece-mainland,Access to medical services,Healthcare,True,True,False,False,False,False,False,True,False
greece-mainland,Access to medical services,Hospitals in Greece,True,True,False,False,False,False,False,False,False
greece-mainland,Access to medical services,Hospitals in Greece for chlidren,False,True,False,False,False,False,False,False,False
greece-mainland,Access to medical services,Who is eligible for free healthcare?,False,False,False,True,False,False,False,False,False
greece-mainland,Assisted voluntary returns - IOM,Overview,False,False,False,False,False,False,True,False,True
greece-mainland,Assisted voluntary returns - IOM,What happens to Syrians when they are returned to Turkey,False,True,False,False,False,False,False,False,False
greece-mainland,Asylum in Greece,Your options in Greece,True,True,False,True,False,False,False,False,True
greece-mainland,Asylum in Greece,legal pathways flowcharts,True,True,True,True,True,False,False,False,False
greece-mainland,Asylum in Greece,Asylum in greece overview (Greek asylum office),False,False,False,False,False,False,False,False,False
greece-mainland,Asylum in Greece,How to Apply for Asylum,True,True,False,True,False,False,False,False,True
greece-mainland,Asylum in Greece,Preparing for your Asylum Interview,True,True,False,True,False,False,False,False,True
greece-mainland,Asylum in Greece,Information about the asylum Interview,True,True,False,True,False,False,False,False,True
greece-mainland,Asylum in Greece,Appealing a Negative Decision,True,True,False,True,False,False,False,False,True
greece-mainland,Asylum in Greece,Dublin III,True,True,False,True,True,False,False,True,True
greece-mainland,Asylum in Greece,Skype schedule,False,False,False,False,False,False,False,False,False
greece-mainland,Deportation reporting and assistance,Returnwatch,True,True,False,True,True,False,False,False,True
greece-mainland,Emergency numbers,Athens police station,False,True,False,False,False,False,False,False,False
greece-mainland,Family reunification,Overview,True,True,False,True,True,False,True,False,False
greece-mainland,Missing persons - Red Cross,Overview,True,True,False,True,False,False,False,False,False
greece-mainland,Relocation,Questions and answers,True,True,False,False,False,False,False,False,False
greece-mainland,Relocation,Relocation for Iraqis,True,True,False,False,False,False,False,False,False
greece-mainland,Rights and obligations of people seeking international protection in greece,Overview,True,True,False,False,False,False,False,False,False
greece-mainland,Turkey as a safe country,Overview,True,True,False,False,False,False,False,False,False
greece-mainland,useful links and addresses,Victoria Square Information,True,True,False,True,False,False,False,False,False
